,Créateur/auteur : Nom et informations,Catégorie Créateur/auteur,Genre de l'host,NOM DE L'HOST
713,"Taous MERAKCHI, alias Jack PARKET, rédactrice web, autrice",Artiste,AD,AD
714,AD,amateur/concerné,AD,AD
715,Inès Edel-Garcia,auteur/réalisateur,F,Inès Edel-Garcia
716,"Anne-Cécile GENRE, journaliste, réalisatrice, Théo BOULENGER, réalisateur, compositeur, auteur sonore",Journaliste,AD,AD
717,"Clémentine PORTIER-KALTENBACH, journaliste",Journaliste,AD,AD
718,AD,AD,F,AD
719,"Michel Winock, historien","Prof, chercheurs",H,Pierre Hancisse
720,"Alexandre MOGNOL, auteur réalisateur sonore indépendant",auteur/réalisateur,AD,AD
721,AD,AD,F,AD
722,Olivier Thomas,Journaliste,H,Olivier Thomas
723,AD,AD,AD,AD
724,"VARIABLE, journalistes de la rédaction, équipes de l'édition du soir",Rédaction,H+F,Mutiples
725,"Alice DEROIDE, journaliste, productrice de podcast",Journaliste,AD,AD
726,"Andrea BRUSQUE, comédienne",Artiste,AD,AD
727,non précisé,NSP,AD,AD
728,"Hervé HAUTBOLDT, journaliste",Journaliste,H,Hervé HAUBOLDT
729,rédaction,Rédaction,H,Denis VERNET
730,journalistes de la rédaction,Rédaction,F,Laurence SZABASON
731,non précisé,Studio de podcast,AD,AD
732,"Cléo HENIN, cheffe de projet freelance",amateur/concerné,F,"Cléo HENIN, cheffe de projet freelance"
733,journalistes de la rédaction,Rédaction,H,Multiples
734,rédaction,Rédaction,AD,AD
735,nsp,NSP,AD,AD
736,nsp,nsp,H,AD
737,"Pénélope BOEUF, fondatrice studio la toile sur écoute",auteur/réalisateur,AD,AD
738,"un podcast présenté par Brune Bottero. Réalisation et création sonore : Nicolas Vair, Marine Quéméré, Charles de Cillia · Générique : Nicolas de Gelis · Illustration : Jean Mallard",auteur/réalisateur,AD,AD
739,"Arnaud MANZANINI, athlète, auteur",amateur/concerné,H,"Arnaud MANZANINI, athlète, auteur"
740,Cédric Calandraud,auteur/réalisateur,H,Cédric Calandraud
741,nsp,NSP,AD,AD
742,Stéphane Basset,NSP,AD,AD
743,expert Lapeyre,professionnel secteur,AD,AD
744,Aurore Le Bihan,auteur/réalisateur,F,Aurore Le Bihan
745,non précisé,NSP,AD,AD
746,"Un podcast produit et animé par Alexandre Jubelin, et édité et distribué par Binge audio.

Boutique : https://le-collimateur.myspreadshop.fr/",Journaliste,H,Alexandre Jubelin
747,"Céline Martelet : Journaliste indépendante, elle travaille auprès de Médiapart, Radio France, la RTS, La Libre Belgique ou encore Middle East Eye. Elle a publié plusieurs enquêtes sur le terrorisme, et réalisé de nombreux podcasts, notamment : « La cage : une française dans le djihad. » en 2019 sur ARTE Radio",Journaliste,F,Céline Martelet
748,"Cyrielle BEDU, écriture et interviews, journaliste",Journaliste,AD,AD
749,"Justin BLANCKAERT, comédien",Artiste,AD,AD
750,AD,AD,AD,AD
751,"Audrey, Zu, Nimp, GrandPoil, Pomme",Studio de podcast,AD,AD
752,"Herveline DENIS, marketing digital",Autres,AD,AD
753,non précisé,NSP,AD,AD
754,Anne-Sophie Lepicard,auteur/réalisateur,F,Anne-Sophie Lepicard
755,nsp,NSP,AD,AD
756,des journalistes du service sport,Rédaction,H,Jean-Pierre DORIAN
757,"Victoire DE LA MAISONNEUVE, aujourd'hui global head of podcast and audiobooks chez Deezer",Studio de podcast,F,Victoire DE LA MAISONNEUVE
758,rédaction,Rédaction,AD,AD
759,Emmanuel Peudon,amateur/concerné,H,Emmanuel Peudon
760,rédaction,Rédaction,AD,AD
761,Laure Chatrefou,auteur/réalisateur,F,Laure Chatrefou
762,Vivian,NSP,AD,AD
763,Elise Costa journaliste spécialisée judiciaire,auteur/réalisateur,F,AD
764,AD,AD,AD,AD
765,rédaction,Rédaction,AD,AD
766,NSP,Rédaction,H,AD
767,AD,AD,AD,AD
768,"Virginie DE ROCQUIGNY, Anouk EDMONT, journalistess (hors Télégramme)",Journaliste,F,AD
769,rédactiion,nsp,H,Multiples
770,Pauline FERCOT (réalisation),Rédaction,F,Pauline FERCOT
771,"César COMPADRE, Mathieu HERVE, journalistes de la rédaction",Journaliste,H,AD
772,Brice Bossavie (présentation),Rédaction,H,Brice BOSSAVIE
773,"Aude LORRIAUX, journaliste freelance, Nassira EL MOADDEM, journaliste freelance, Marie KIRSCHEN, rédac chef les Inrockuptibles",Journaliste,AD,AD
774,"Sébastien ABDELHAMID, journaliste, animateur",Journaliste,AD,AD
775,"Clarence Edgard-Rosa, journaliste",Journaliste,F,Clarence EDGARD-ROSA
776,"Matthieu STEFANI, entrepreneur",professionnel secteur,AD,AD
777,variable,Rédaction,H+F,Multiples
778,l'équipe de Territoires audacieux,Rédaction,F,AD
779,"VARIABLE, journalistes de la rédaction",Rédaction,H,Multiples
780,variable,Rédaction,H+F,"Maëliss HENNETIER, Damien Le Délézir"
781,"Cédric VILLANI, ",professionnel secteur,H,"Cédric VILLANI, "
782,"Mathilde BOUYCHOU, psychologue clinicienne",professionnel secteur,F,"Mathilde BOUYCHOU, psychologue clinicienne"
783,nsp,nsp,AD,AD
784,AD,AD,AD,AD
785,rédaction,Rédaction,F,AD
786,pôle événement de Ouest France,Autres,H,Multiples
787,"Maxime NAUCHE, journaliste",Journaliste,AD,AD
788,"Marine DITTA, journaliste à la rédaction numérique, itw ses collègues",Rédaction,F,Marine DITTA
789,"Mathias CHAILLOT, journaliste indépendant et auteur (animation",Journaliste,AD,AD
790,non précisé,NSP,AD,AD
791,"Franck FERRAND, animateur",Journaliste,H,Franck FERRAND
792,rédaction,Rédaction,AD,AD
793,rédaction,Rédaction,H,Multiples
794,"Bruno LUS, Valentin LEROUX, journaliste",Journaliste,AD,AD
795,"Cyrielle LE MOIGNE-TOLBA, ""Développeuse d'histoires, chercheuse de pépites à raconter""",auteur/réalisateur,AD,AD
796,"Jean-Hervé MOYSAN, journaliste",Journaliste,AD,AD
797,rédaction,Rédaction,F,AD
798,Adèle Poisson,auteur/réalisateur,F,Adèle Poisson
799,Guillaume Duseaux,Rédaction,H,Guillaume DUSEAUX
800,rédaction,Rédaction,AD,AD
801,Ben,NSP,AD,AD
802,Fabien CAZENAVE (animation),Rédaction,H,Fabien CAZENAVE
803,"Christophe CESSIEUX, journaliste",Journaliste,AD,AD
804,"Adèle Gallet, cofondatrice Ticket for change",Activiste/associatif,AD,AD
805,"Maëlle, atteinte d'un cancer du sein",Autres,AD,Maëlle
806,"Aurélien FRANCES (animation), auteur, journaliste, docuentariste radio,  fondateur de Silence Podcast, passé par Arte et Euradio",Journaliste,H,Aurélien FRANCES
807,"Laurent COULON, Valérie PASSELÈGUE, journalistes",Journaliste,AD,AD
808,"Arno PEDRAM, pigiste Justice/Racisme",Journaliste,AD,AD
809,rédaction,Rédaction,AD,AD
810,rédaction,rédaction,AD,AD
811,AD,AD,AD,AD
812,"Adèle Humbert, Emilie Denètre",Studio de podcast,F,AD
813,"Jules Lavie, rédac chef",Journaliste,H,Jules LAVIE
814,Pierrick FAY (présentation,Rédaction,H,Pierrick FAY
815,AD,Journaliste,F,AD
816,"Laurent KRETZ, cofondateur cosa vostra",Studio de podcast,AD,AD
817,Camille Maestracci ,Journaliste,F,Camille Maestracci 
818,Dider Roustan,Rédaction,H,Dider ROUSTAN
819,étudiants IUT Lannion,étudiant.e.s,F,Multiples
820,variable,Rédaction,H,Mathieu COUREAU
821,"Phil_Goud & Redscape Factory
",AD,AD,"""Phil_Goud & Redscape Factory
"""
822,"présenté par Marie Zafimehy avec l'éclairage de Caroline Leroux, psychologue clinicienne et sexologue.",Journaliste,F,Marie Zafimehy
823,Kristen Falc'hon,auteur/réalisateur,F,Kristen Falc'hon
824,AD,amateur/concerné,AD,AD
825,rédaction,Rédaction,AD,AD
826,AD,AD,H,AD
827,"Mac Lesggy, animateur",Journaliste,AD,AD
828,"Agnès BONFILLON, Olivier BOY, Guillaume CHIEZE, Jérôme FLORIN, Alice 
MORENO Thomas PROUTEAU, Nathalie RENOUX, Jean-Alphonse RICHARD, Patrick 
TEJERO, Justine VIGNAU, journalistes",Journaliste,AD,AD
829,"Lionel GENDRON, correspondant",Journaliste,AD,AD
830,"Marie ZAFIMEHY, journaliste",Journaliste,AD,AD
831,Claire Richard,auteur/réalisateur,F,Claire Richard
832,rédaction,Rédaction,AD,AD
833,VARIABLE,Rédaction,F,Aziliz PEAUDECERF
834,AD,AD,AD,AD
835,"Melvil POUPAUD, comédien",Artiste,AD,AD
836,"Sinatou SAKA, journaliste, Vladimir CAGNOLARI, journaliste, Simon DECREUZE, coordinateur production de podcast RFI",Journaliste,AD,AD
837,journalistes voile du Télégramme,Rédaction,F,AD
838,"Voix : Rebecca Devannes. Montage : Yann Bonicatto. Conception, réalisation, mixage : Emmanuel Viau. Musique Fixxions. Animation éditoriale : Christophe Fernandez / E. Viau. Création visuelle : France Rapp.",Rédaction,F,Rebecca DEVANNES
839,Marion Pillas,auteur/réalisateur,F,Marion Pillas
840,"Olivier LOUVET, journaliste",Journaliste,H,Olivier LOUVET
841,nsp,NSP,AD,AD
842,"Sarah KOSKIEVIC, journaliste freelance",Journaliste,AD,AD
843,"Alice VACHET, animatrice, entrepreneure, spé RSE",professionnel secteur,AD,AD
844,"Christophe CARRON, dir rédac Slate, Laurence NARDON, chercheuse IFRI, Romain DESSAL, fondateur TTSO",Autres,AD,AD
845,"Clara Garnier-Amouroux (présentation), Bastien Vigault et Renaud Duguet (réalisation), Gabrielle Ramain (production)",auteur/réalisateur,AD,AD
846,rédaction,Rédaction,AD,AD
847,rédaction,Rédaction,AD,AD
848,non précisé,nsp,AD,AD
849,AD,Journaliste,H+F,AD
850,rédaction,Rédaction,AD,AD
851,Agathe Charnet,auteur/réalisateur,F,Agathe Charnet
852,Louise Régent,auteur/réalisateur,F,Louise Régent
853,AD,amateur/concerné,AD,AD
854,"Laurent VERGNE, Maxime DUPUIS, journalistes",Journaliste,AD,AD
855,"Thierry TAZÉ-BERNARD, journaliste",journaliste,AD,AD
856,journalistes de la rédaction,Rédaction,H,AD
857,Antoine Benneteau (présentation),Rédaction,H,Antoine BENNETEAU
858,Emma Walter,auteur/réalisateur,F,Emma Walter
859,"Patricia BLETTERY, journaliste",Journaliste,AD,AD
860,Thibaut et Cédric,NSP,AD,AD
861,rédaction,Rédaction,AD,AD
862,"Bruno SOULEZ, chief operation, cosa vostra",Studio de podcast,AD,AD
863,rédaction,Rédaction,AD,AD
864,"nterviews : Agathe le Taillandier, Présentation : Agathe le Taillandier. Édition et production : Soukaïna Qabbal. Illustration : Pierre-Emmanuel Lyet. Musique : Mélodie Lauret et Antoine Graugnard.Présentation : Agathe le Taillandier. Édition et production : Soukaïna Qabbal. Illustration : Pierre-Emmanuel Lyet. Musique : Mélodie Lauret et Antoine Graugnard.",Journaliste,AD,AD
865,Tony POULAIN,Journaliste,H,Tony POULAIN
866,AD,rédaction,AD,AD
867,rédaction,Rédaction,H,Nicolas ZARROUK
868,"Antoine BENNETEAU, journaliste",Journaliste,AD,AD
869,"Olivier EMOND, journaliste",Journaliste,AD,AD
870,"Lucile BELLAN, journaliste freelance",Journaliste,AD,AD
871,AD,amateur/concerné,AD,AD
872,rédaction,Rédaction,AD,AD
873,les journalistes du Drenche,Rédaction,AD,AD
874,nsp,nsp,H+F,AD
875,nsp,nsp,H+F,AD
876,"Romain LANÉRY, Léo DUFF, Manuel?, créateurs de contenu (youtube, réseaux sociaux)",amateur/concerné,AD,AD
877,"Emilie ALBERTINI, animatrice",amateur/concerné,F,Emilie ALBERTINI
878,Carole Tolila,Journaliste,F,Carole Tolila
879,AD,amateur/concerné,AD,AD
880,"VARIABLE, journalistes de la rédaction",Rédaction,F,Multiples
881,Benjamin Berteau,amateur/concerné,H,Benjamin Berteau
882,rédaction,Rédaction,AD,AD
883,"Luc LE GONIDEC,  Rédacteur Chef, monteur son, Host Podcast cinéma ""Retour vers le Turfu"" ""#Shitlist"" et du podcast série ""Le Début de la Fin"" ",Studio de podcast,AD,AD
884,Caroline Langlois,Journaliste,F,Caroline Langlois
885,AD,amateur/concerné,AD,AD
886,Michel LITOUT,Journaliste,H,Michel LITOUT
887,"Sébastien JOSEPH, directeur programmes Fun radio",Journaliste,AD,AD
888,Marie-Amélie Motte (animatrice),Rédaction,F,Marie-Amélie MOTTE
889,"Jérôme Prévôt, journaliste",Journaliste,H,Jérôme PRÉVOT
890,nsp,nsp,AD,AD
891,"Gilbert BRISBOIS, journaliste",Journaliste,AD,AD
892,"Gilbert BRISBOIS, journaliste",Journaliste,AD,AD
893,"Gilbert BRISBOIS, journaliste",Journaliste,AD,AD
894,"Gérar DAVET, journaliste, Fabrice LHOMME, journaliste",Journaliste,H,"Gérard DAVET, Fabrice LHOMME"
895,"Gilbert BRISBOIS, journaliste",Journaliste,AD,AD
896,"Zazie TAVITIAN, chroniqueuse, Radio France",Journaliste,AD,AD
897,rédaction,Rédaction,AD,AD
898,"Benjamin MATHIEU, journaliste",Journaliste,AD,AD
899,"Illias GRANDJEAN, Eric SALLIOT, journalistes, Florent SERRA, tennisman",Journaliste,AD,AD
900,"Camille REGACHE, journaliste",Journaliste,AD,AD
901,"Bruno DUVIC, journaliste",Journaliste,AD,AD
902,"Tony FLETCHER, journaliste",Journaliste,AD,AD
903,non précisé,NSP,AD,AD
904,"Jean-Christophe DROUET, journaliste, Thilbault BRACCIO, rédac chef ES1",Journaliste,AD,AD
905,"Alexandre HERBINET, journaliste",Journaliste,AD,AD
906,Alexandre Herbinet,Journaliste,H,Alexandre Herbinet
907,rédaction,Rédaction,AD,AD
908,Justine Fraioli,Journaliste,AD,AD
909,"Arnaud BEURDELEY, journaliste",Journaliste,H,Arnaud BEURDELEY
910,Victor Richard,NSP,F,Géraldine Szajman
911,Elodie Font ,auteur/réalisateur,F,Elodie Font 
912,Felix Blume,auteur/réalisateur,H,Felix Blume
913,"Leïla IZRAR, auteure chez Binge",auteur/réalisateur,AD,AD
914,Estelle,Journaliste,AD,AD
915,AD,AD,AD,AD
916,"Jean-Marie COLOMBANI, fondateur Slate, Alain FRACHON, journaliste, Christophe CARRON, dir rédaction Slate",Journaliste,AD,AD
917,"Camille MATI, journaliste, Gabriel DEBRAY, directeur artistique, Hugo COMBE, journaliste",Journaliste,AD,AD
918,Clément Pétreault journaliste Point,Journaliste,AD,AD
919,"Philippe GUEDJ, journaliste au Point",Journaliste,AD,AD
920,"Stéphanie CHERMONT, journaliste Canal +, Marie SALAH, journaliste, auteure, réalisatrice, Canal +",Journaliste,AD,AD
921,"Nina PAREJA, journaliste radio et podcast",Journaliste,AD,AD
922,"Laélia VERON, linguiste, stylisticienne, enseignante-chercheure","Prof, chercheurs",AD,AD
923,"Patricia TOURANCHEAU, journaliste",Journaliste,F,Patricia TOURANCHEAU
924,"Anaïs BORDAGE, pigiste Slate, Marie TELLING, chef service société/culture/vie privée Elles",Journaliste,AD,AD
925,Manon Prigent,auteur/réalisateur,F,Manon Prigent
926,rédaction,Rédaction,AD,AD
927,rédaction,Rédaction,AD,AD
928,rédaction,Rédaction,H,"Guillaume, Yohann"
929,"Yanny Hureau, chroniqueur pour l'Ardennais",Journaliste,H,Yanny HUREAU
930,non précisé,Studio de podcast,AD,AD
931,rédaction,Rédaction,AD,AD
932,nsp,auteur/réalisateur,AD,AD
933,"Baptiste ETCHEGARAY, réalisateur",auteur/réalisateur,AD,AD
934,"Les combattantes est un podcast RTL Originals réalisé et présenté par Marielle Fournier, produit en partenariat avec l’association « Le cancer du sein, parlons-en ! » | Direction : Antoine Daccord | Production : Alice Boryczka | Développement : Alix de Goldschmidt
",Journaliste,F,Marielle Fournier
935,"Joël Morio (direction éditoriale, ""Le Monde Argent""), Karine Le Loët (reportage); Charlène Nouyous (réalisation)",Journaliste,F,AD
936,"Aurélie FRANC, journaliste",Journaliste,AD,AD
937,non précisé,nsp,AD,AD
938,AD,AD,AD,AD
939,nsp,Studio de podcast,AD,AD
940,rédaction,Rédaction,AD,AD
941,"Nina PAREJA, journaliste pigiste podcast, Christophe CARRON, dir redac Slate",Journaliste,AD,AD
942,"Lucile BELLAN, journaliste freelance",Journaliste,AD,AD
943,pôle événement de Ouest France,Autres,H,Multiples
944,AD,AD,AD,AD
945,"Arnaud Tulipier, Rémy Lacombe et Thierry Marchand",Rédaction,H,Multiples
946,rédaction,Rédaction,AD,AD
947,nsp,nsp,H+F,AD
948,"Guillaume NATAS, magicien",professionnel secteur,AD,AD
949,Aude GOGNY-GOUBERT,auteur/réalisateur,AD,AD
950,Rodolphe Alexis,auteur/réalisateur,H,Rodolphe Alexis
951,nsp,Rédaction,AD,AD
952,nsp,NSP,AD,AD
953,AD,AD,AD,AD
954,"Marc LEPLONGEON, journaliste du Point",Journaliste,AD,AD
955,Alicia Dorey (présentation),Rédaction,F,Alicia DOREY
956,rédaction,Rédaction,AD,AD
957,Nina Pareja,auteur/réalisateur,F,Nina Pareja
958,nsp,NSP,AD,AD
959,rédaction,Rédaction,AD,AD
960,"nsp, marque?",NSP,AD,AD
961,rédaction,Rédaction,AD,AD
962,"Delphine PINON, entrepreneure, money and life coach",professionnel secteur,AD,AD
963,nsp,NSP,AD,AD
964,Léa Veinstein,auteur/réalisateur,F,Léa Veinstein
965,pôle événement de Ouest France,Autres,AD,Multiples
966,"Christine LAMBERT, journaliste spécialisée, Sébastien MENGUANT, expert caviste, JULIA MASON, ambassadrice de la marque",professionnel secteur,AD,AD
967,"Dolores Bakèla, Hélène Ghuinut, journalistes",Journaliste,AD,AD
968,"Sonia (voix), NSP",Studio de podcast,AD,AD
969,Laurie Cholewa,AD,F,Laurie Cholewa
970,NSP,Rédaction,H,Jean-Michel LOPEZ
971,"Hélène DECOMMER, rédac chef Slate, Jean-Laurent CASSELY, journaliste, essayiste",Journaliste,AD,AD
972,"""notre journaliste Rémi""",Journaliste,AD,AD
973,rédaction,Rédaction,AD,AD
974,rédaction,Rédaction,H,Romain CHEVALIER
975,"Samia BASILLE, podcasteuse",Autres,AD,AD
976,journalistes de la rédaction,Rédaction,F,AD
977,"Michel CYMES, médecin, animateur",professionnel secteur,H,Michel CYMES
978,"Mathieu PALAIN, journaliste",Journaliste,AD,AD
979,rédaction,Rédaction,H ,Baptiste DUBUC
980,rédaction,Rédaction,AD,AD
981,"Céline COUMAU, journaliste",journaliste,F,Céline COUMAU
982,François Vercelletto (animation),Journaliste,H,François VERCELLETTO
983,rédaction Sud Ouest et groupe Centre France,Rédaction,H,"Grégoire MOLLE, Frédéric SALLET"
984,les correspondants des radios francophones publiques,Journaliste,AD,AD
985,"Jean-Alalin VERLARDO (présentation), comédien",Studio de podcast,AD,AD
986,Marc Angel,AD,H,vie quotidienne/vie pratique
987,"""Marc et Yann""",Rédaction,AD,AD
988,"Michel DENIZOT, journaliste",Journaliste,AD,AD
989,AD,AD,AD,AD
990,Bertrand Dical,"Prof, chercheurs",H,Bertrand Dical
991,"Dominique LANG, journaliste",Journaliste,F,Dominique LANG
992,"nsp, varie en fonction des documentaires",auteur/réalisateur,AD,AD
993,"Clémence HACQUART, auteure podcast",auteur/réalisateur,AD,AD
994,"Thierry PFOHL, chroniqueur culinaire, Laurent GAUDENS, chargé départemental multimédia La Nouvelle République Centre Ouest",Journaliste,H,Thierry Pfohl
995,non précisé,NSP,AD,AD
996,Florane DARCIMOL ??,NSP,AD,AD
997,"Gaëlle FLEITOUR (animation), journaliste Ouest France, adjointe au chef du service Eco-Social",Journaliste,F,Gaëlle FLEITOUR
998,"Rami MALEK, comédien",Rédaction,AD,AD
999,Buddakhiin & Bigaston,amateur/concerné,H,Buddakhiin & Bigaston
1000,"Patrick COULOMB, auteur, éditeur, journaliste La Provence",Journaliste,H,Patrick COULOMB
1001,nsp,NSP,AD,AD
1002,Marie-Aldine Girard,NSP,AD,AD
1003,"Margaux LANNUZEL, journaliste",Journaliste,AD,AD
1004,nsp marque?,NSP,AD,AD
1005,"Mario ALBANO, grand reporter à La Provence",Journaliste,H,Mario ALBANO
1006,"Aline PERRAUDIN, directrice de la rédaction",Journaliste,AD,AD
1007,Laetitia Druart,auteur/réalisateur,F,Laetitia Druart
1008,rédaction,Rédaction,AD,AD
1009,"Jean ZEID, curateur, chroniqueur, journaliste",Journaliste,AD,AD
1010,"Hélène VEZIER, auteure, comédienne",Artiste,AD,AD
1011,rédaction,Rédaction,AD,AD
1012,"Charles PEPIN, philosophe",professionnel secteur,AD,AD
1013,Louise Massin,NSP,AD,AD
1014,rédaction,Rédaction,AD,AD
1015,Tranié,Artiste,AD,AD
1016,nsp,NSP,H,AD
1017,"VARIABLE, quatre journalistes des rédactions sportives de Hit West, Ouest-France, 20 Minutes, Presse Océan",Rédaction,H,Simon REUNGOAT
1018,"Laurent GAUDENS, chargé départemental multimédia La Nouvelle République Centre Ouest",Journaliste,H,Laurent GAUDENS
1019,"Lorraine de Foucher, journaliste",Journaliste,F,Lorraine DE FOUCHER
1020,rédaction,Rédaction,AD,AD
1021,rédaction,Rédaction,H,Emmnanuel VIAU
1022,"Emmanuel VIAU, journaliste, chef du laboratoire di'nnovation numérique, podcasteur",Journaliste,H,Emmanuel VIAU
1023,Sandrine Chauvin,professionnel secteur,F,Sandrine Chauvin
1024,Dominique Petitgand,auteur/réalisateur,H,Dominique Petitgand
1025,"Yaël GABISON, coach de dirigeants et fondatrice cabinet de conseil",Autres,AD,AD
1026,rédaction,Rédaction,F,Laure DAUTRICHE
1027,"Annabelle Laurent,",Journaliste,F,"Annabelle Laurent,"
1028,"Emmanuel VIAU, journaliste, chef du laboratoire di'nnovation numérique, podcasteur",Journaliste,H,Emmanuel VIAU
1029,AD,AD,AD,AD
1030,"Céline VANEL, consultante Social Media Manager, manager Esport La Provence",Autres,F,Céline VANEL
1031,nsp marque?,NSP,AD,AD
1032,AD,AD,AD,AD
1033,"Erwan BRUCKERT, journaliste (aujourd'hui à L'Express)",Journaliste,AD,AD
1034,rédaction,Rédaction,F,AD
1035,"Thomas CLARAC, journaliste Vanity Fair",Journaliste,H,Thomas CLARAC
1036,rédaction,Rédaction,H,Nicolas ZARROUK
1037,rédaction,Rédaction,AD,AD
1038,nsp,NSP,F,AD
1039,"Antoine BOYER, journaliste AFP",Journaliste,AD,AD
1040,"Ingrid LUQUET-GAD, critique d'art",professionnel secteur,F,Ingrid LUQUET-GAD
1041,Marie ZINCK,Journaliste,F,Marie ZINCK
1042,rédaction,Rédaction,F,Multiples
1043,Laurent Joffrin,Journaliste,H,Laurent JOFFRIN
1044,"Nicolas POINCARÉ et Fabien RANDRIANARISOA, journalistes",Journaliste,AD,AD
1045,Marie Arquié et Jérôme Schimidt ,nsp,AD,Marie Arquié et Jérôme Schimidt 
1046,Rémi Pelletier ,Journaliste,H,Rémi Pelletier 
1047,rédaction,Rédaction,AD,AD
1048,"Leslie BENZAQUEN, journaliste",Journaliste,F,"Leslie BENZAQUEN, journaliste"
1049,Vincent et Vincent (Front de Libération Bordeluche),Activiste/associatif,H,AD
1050,"Frédérique LEBEL, journaliste",Journaliste,AD,AD
1051,nsp,NSP,AD,AD
1052,"Romain GONZALEZ, le Point",Journaliste,AD,AD
1053,non précisé,nsp,AD,AD
1054,"VARIABLE, journalistes de la rédaction",Rédaction,F,Multiples
1055,rédaction,Rédaction,H,Thierry BOULDOIRE
1056,rédaction,Rédaction,H,AD
1057,journalistes de la rédaction,Rédaction,F,Emma DONADA
1058,nsp,nsp,H+F,AD
1059,Emmanuel VIAU (voix),Journaliste,H,Emmanuel VIAU
1060,"Patrick Le Hyaric, directeur du journal",Journaliste,H,Patrick Le HYARIC
1061,"nsp, marque?",professionnel secteur,AD,AD
1062,rédaction,Rédaction,AD,AD
1063,rédaction,Rédaction,AD,AD
1064,JoeyStarr,Artiste,AD,AD
1065,Pierrick Delobelle,Journaliste,H,Pierrick Delobelle
1066,AD,AD,AD,AD
1067,"Thierry CHÈZE, journaliste",Journaliste,AD,AD
1068,"Olivia DE LAMBERTERIE, responsable pages littéraires du magazine",Journaliste,AD,AD
1069,"Leia SANTACROCE (animation), journaliste, Lucas WYBO, prducuteur de podcast pour Prisma, , Clara MATET, réalisatrice de podcasts pour  Prisma, Emeline FERARD, journaliste web Geo",Rédaction,AD,AD
1070,"Capucine TROLLION, rédactrice culture, société, média, RTL, Aymeric PARTHONNAUD, journaliste",Journaliste,AD,AD
1071,"Pénélope BOEUF, fondatrice studio la toile sur écoute",auteur/réalisateur,AD,AD
1072,Nicolas Senèze,Journaliste,H,Nicolas Senèze
1073,"Sylvain CHARLEY, journaliste",Journaliste,AD,AD
1074,"Anis RHALI, scénariste, réalisateur, comédien",auteur/réalisateur,AD,AD
1075,"Sylvain ZIMMERMANN, Responsable éditorial des podcasts du pôle audio digital RTL ",Journaliste,AD,AD
1076,"Gaetan ROUSSEL, musicien",Artiste,AD,AD
1077,AD,AD,AD,AD
1078,"Pénélope BOEUF, fondatrice studio la toile sur écoute",auteur/réalisateur,AD,AD
1079,Colas Zibaut,auteur/réalisateur,H,Colas Zibaut
1080,AD,AD,AD,AD
1081,rédaction,Rédaction,AD,AD
1082,rédaction,Rédaction,H,Laurent GAUDENS
1083,"Yasmina OUIRHRANE,  appointed expert by the European Union and the African Union",professionnel secteur,F,Yasmina OUIRHRANE
1084,rédaction,Rédaction,AD,AD
1085,nsp,NSP,AD,AD
1086,"VARIABLE, journalistes de la rédaction",Rédaction,H,Edouard REIS CARONA
1087,"Richard Gaitet, journaliste, critique, animateur",auteur/réalisateur,H,AD
1088,Dorith Naon ,AD,AD,AD
1089,ournalistes et présentatrices : Marie Semelin & Camille Maestracci,Journaliste,AD,AD
1090,"François LANGLET, journaliste, économiste, Sylvain ZIMMERMAN, journaliste",Journaliste,AD,AD
1091,François ??,Journaliste,H,AD
1092,"Alexandra HUBIN, sexologue",professionnel secteur,AD,AD
1093,"Rozenn LE CARBOULEC, journaliste indépendante",Journaliste,AD,"Rozenn LE CARBOULEC, journaliste indépendante"
1094,auditeurs,Autres,F,Maud RIEU
1095,"Pauline BLISTENE, postoc, Paris 1, philo","Prof, chercheurs",AD,AD
1096,Alexandra (Lexine),Studio de podcast,AD,AD
1097,David Castello Lopes,Journaliste,AD,AD
1098,rédaction,Rédaction,H,"Jean-Pierre DELOR, Yohann LEMORE"
1099,nsp,nsp,AD,AD
1100,Jérémie,NSP,AD,AD
1101,rédaction,Rédaction,AD,AD
1102,"différents journalistes spécialisés (santé, économie, numérique) de la rédaction du Monde",Rédaction,H,Jean-Guillaume SANTI
1103,Marie-Odile Weiss et Adélie Pojzman-Pontay,auteur/réalisateur,AD,"Marie-Odile Weis, Lorenzo Benedetti"
1104,"Vanessa RICHARDSON, Greg POLCYN, comédiens voix",Artiste,AD,AD
1105,deux journalistes santé du magazine,Journaliste,AD,AD
1106,Narjes,NSP,AD,AD
1107,"Capucine Japhet, journaliste podcast/voix-off, indépendante (semble-t-il",Journaliste,F,Capucine JAPHET
1108,Les Cavalcades,Studio de podcast,F,AD
1109,non précisé,Studio de podcast,AD,AD
1110,"Guillaume MALAURIE, journaliste",Journaliste,H,Guillaume MALAURIE
1111,"Daphné ROULIER, journaliste",Journaliste,F,Daphné ROULIER
1112,AD,amateur/concerné,AD,AD
1113,"des ""experts"" : notaire, courtier, recruteurs, gestion de patrimoine",Autres,AD,AD
1114,"des ""experts""",Autres,AD,AD
1115,Tassilo Hummel,auteur/réalisateur,H,Tassilo Hummel
1116,Christophe Bourseiller,professionnel chercheur,H,Christophe Bourseiller
1117,"Nikos ALIAGAS, animateur",Autres,AD,AD
1118,"Denis BROGNART, animateur",Autres,AD,AD
1119,"Jacuqes PRADEL, journaliste",Journaliste,AD,AD
1120,"Judith DUPORTAIL, journaliste",Journaliste,AD,AD
1121,Emmanuel Viau,Journaliste,H,Emmanuel Viau
